Code,Name,Symptoms,Treatments
259,Abscess of Nose,"pain, swelling, redness, discharge from the nose","antibiotics, warm compresses, surgical drainage (in severe cases)"
260,Omphalitis,"redness, swelling, discharge, foul odor around the umbilical area","antibiotics, wound care, surgical intervention (in severe cases)"
261,Leukemia,"fatigue, pale skin, frequent infections, easy bleeding or bruising","chemotherapy, radiation therapy, stem cell transplant, targeted therapy, supportive care"
262,Bell Palsy,"facial weakness or paralysis, drooping of the mouth or eyelid","corticosteroids, antiviral medications, eye protection, physical therapy"
263,Conjunctivitis due to Allergy,"redness, itching, watery discharge, swollen eyelids","allergen avoidance, antihistamine eye drops, cold compresses, lubricating eye drops"
264,Drug Reaction,"rash, itching, swelling, fever, respiratory symptoms","discontinuation of the offending drug, supportive care, antihistamines, corticosteroids (in severe cases)"
265,Adrenal Cancer,"abdominal or back pain, unexplained weight loss, hormonal imbalances","surgery (adrenalectomy), chemotherapy, radiation therapy, targeted therapy, hormone replacement therapy"
266,Myopia,"blurred distance vision, eyestrain, squinting","eyeglasses, contact lenses, refractive surgery (lasik), orthokeratology (for some cases)"
267,Osteoarthritis,"joint pain, stiffness, swelling","pain relievers, physical therapy, weight management, assistive devices, surgery (in severe cases)"
268,Thyroid Disease,"fatigue, weight changes, mood swings, dry skin","medications (thyroid hormone replacement, antithyroid drugs), radioactive iodine therapy, surgery (in some cases)"
269,Pharyngitis,"sore throat, difficulty swallowing, swollen lymph nodes","rest, pain relievers, throat lozenges, antibiotics (if bacterial infection), symptomatic relief"
270,Chronic Rheumatic Fever,"joint pain, fever, rash, heart inflammation","antibiotics (to treat streptococcal infections), anti-inflammatory medications, medications for heart complications"
271,Hypocalcemia,"numbness or tingling in fingers or around the mouth, muscle cramps","calcium and vitamin d supplements, treating underlying causes, intravenous calcium (in severe cases)"
272,Macular Degeneration,"blurred or distorted central vision, blind spots","vision aids, medications (injections into the eye), laser therapy, photodynamic therapy, surgical intervention"
273,Pneumonia,"cough, fever, chest pain, difficulty breathing","antibiotics, antiviral medications (if applicable), rest, fluids, symptomatic relief"
274,Cold Sore,"small, painful blisters on the lips or around the mouth","antiviral medications (topical or oral), pain relievers, antiviral creams, self-care measures"
275,Premature Ventricular Contractions (PVCs),"skipped or extra heartbeats, palpitations, lightheadedness","monitoring (in most cases), lifestyle changes, medications (beta-blockers, antiarrhythmics)"
276,Chancroid,"painful ulcers or sores on the genital area, swollen lymph nodes in the groin","antibiotics (such as azithromycin or ceftriaxone), pain management, warm compresses, good hygiene"
277,Testicular Cancer,"lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","surgery (orchiectomy), chemotherapy, radiation therapy, surveillance (for some cases)"
278,Hydrocephalus,"headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants","shunt placement (to divert excess cerebrospinal fluid), endoscopic third ventriculostomy, medication (in some cases)"
279,Breast Cancer,"breast lump, changes in breast size or shape, nipple changes, breast pain","surgery (lumpectomy or mastectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy"
280,Anemia due to Malignancy,"fatigue, weakness, shortness of breath, pale skin","treating underlying malignancy, blood transfusions, medications (erythropoiesis-stimulating agents, iron supplements)"
281,Esophageal Varices,"swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","medications (beta-blockers, vasoconstrictors), endoscopic therapies, band ligation, transjugular intrahepatic portosystemic shunt (tips), surgical interventions"
282,Endometrial Cancer,"abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy"
283,Cystic Fibrosis,"persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","medications (mucus-thinning drugs, bronchodilators), chest physical therapy, enzyme supplements, lung transplant (in severe cases)"
284,Intertrigo,"red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams"
285,Parathyroid Adenoma,"fatigue, weakness, bone pain, frequent urination, kidney stones","surgical removal of the adenoma (parathyroidectomy), medications to manage calcium levels"
286,Glucocorticoid Deficiency,"fatigue, weakness, weight loss, low blood pressure, abdominal pain",hormone replacement therapy with glucocorticoid medications
287,Temporomandibular Joint Disorder,"jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","self-care measures (rest, applying heat or cold, jaw exercises), pain medications, physical therapy, oral splints"
288,Wilson Disease,"fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","medications to remove copper from the body (chelators), dietary changes, liver transplant (in severe cases)"
289,Vesicoureteral Reflux,"frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","antibiotics, bladder training exercises, surgical correction (in some cases)"
290,Vitamin A Deficiency,"night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","vitamin a supplementation, dietary changes to include foods rich in vitamin a"
291,Gonorrhea,"painful urination, abnormal discharge from the genitals, pelvic pain","antibiotics (dual therapy with ceftriaxone and azithromycin), safe sexual practices, partner notification"
292,Fracture of the Rib,"chest pain, difficulty breathing, tenderness or swelling over the ribcage","pain management, rest, immobilization (splinting or bracing), physical therapy"
293,Ependymoma,"headaches, nausea, seizures, changes in coordination or balance","surgery, radiation therapy, chemotherapy, targeted therapy, rehabilitation"
294,Hepatitis due to a Toxin,"fatigue, jaundice, abdominal pain, nausea, vomiting","supportive care, removal or avoidance of the toxic substance, management of symptoms"
295,Vaginal Cyst,"small lump or swelling in the vaginal wall, discomfort or pain during intercourse","observation (if asymptomatic), warm compresses, sitz baths, surgical removal (if necessary)"
296,Chronic Knee Pain,"persistent knee pain, stiffness, swelling, limited range of motion","pain management, physical therapy, lifestyle modifications, knee braces or supports"
297,Pinguecula,"yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea","artificial tears, lubricating eye drops, sunglasses for uv protection, surgical removal (in severe cases)"
298,Hypergammaglobulinemia,"elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions","treatment of underlying cause or associated condition, immunosuppressive therapy (in some cases)"
299,Pituitary Disorder,"various symptoms depending on the specific disorder, including hormonal imbalances","treatment depends on the specific pituitary disorder and may involve medications, surgery, hormone replacement therapy"
300,Kidney Stone,"severe pain in the side or back, blood in the urine, frequent urination","pain management, increased fluid intake, medication to facilitate stone passage, minimally invasive procedures or surgery"
301,Autism,"challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors","behavioral therapy, educational interventions, speech and language therapy, medications for associated symptoms"
302,Cat Scratch Disease,"swollen lymph nodes, fever, fatigue, headache, rash","antibiotics (azithromycin, doxycycline), pain management, supportive care"
303,Chronic Glaucoma,"gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights","eye drops (to reduce intraocular pressure), oral medications, laser therapy, surgery (trabeculectomy, implantable devices), regular eye exams"
304,Retinal Detachment,"floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss","surgical intervention (pneumatic retinopexy, scleral buckle, vitrectomy), laser therapy, cryotherapy, gas or silicone oil injection, positioning, regular eye exams"
305,Aplastic Anemia,"fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","blood transfusions, bone marrow-stimulating medications, immunosuppressive therapy, stem cell transplant (in severe cases), supportive care"
306,Overflow Incontinence,"frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream","bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications"
307,Rabies,"flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","immediate medical attention (post-exposure prophylaxis), wound care, administration of rabies vaccine and immunoglobulin, supportive care, monitoring and management of symptoms"
308,Hemolytic Anemia,"fatigue, weakness, pale skin, shortness of breath, jaundice","treatment of underlying cause, blood transfusions, medications (immunosuppressants, corticosteroids), splenectomy (in some cases), supportive care, folic acid or iron supplementation"
309,Lateral Epicondylitis (Tennis Elbow),"pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","rest, ice or cold therapy, compression, elbow brace or strap, pain relievers, physical therapy exercises, corticosteroid injections (in severe cases), ergonomic modifications"
310,Syphilis,"primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","antibiotics (usually penicillin), treatment of complications, regular follow-up and testing"
311,Diabetic Kidney Disease,"high blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","blood pressure control, blood sugar control, medications to protect the kidneys (such as ace inhibitors or arbs), lifestyle modifications (healthy diet, regular exercise, quitting smoking), management of underlying diabetes, treatment of complications (such as dialysis or kidney transplantation in advanced stages)"
312,Nose Disorder,"nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell","treatment depends on the underlying cause (such as allergies, sinusitis, or nasal polyps), and may include medications (such as decongestants, antihistamines, nasal sprays), saline nasal irrigation, steam inhalation, allergy management, antibiotics (if bacterial infection is present), surgical intervention (in some cases)"
313,Drug Withdrawal,"anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs"
314,Dental Caries,"toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath","dental fillings, crowns, root canal treatment, tooth extraction (in severe cases), oral hygiene practices (brushing and flossing), regular dental check-ups, fluoride treatments, dietary modifications (reducing sugary and acidic foods and drinks), dental sealants (for prevention), education on proper oral care"
315,Hypercholesterolemia,"high levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","lifestyle modifications (healthy diet, regular exercise, weight management, smoking cessation), medications to lower cholesterol levels (such as statins), regular monitoring of cholesterol levels, management of underlying conditions (such as diabetes or high blood pressure), potential additional treatments (such as bile acid sequestrants or pcsk9 inhibitors)"
316,Fracture of the Patella,"severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity","immobilization (splint, cast, or brace), pain management, physical therapy, exercises to restore mobility and strength, potential surgical intervention (in severe cases or if displacement is present)"
317,Kidney Failure,"decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms, dietary modifications (restricting salt, protein, and potassium), dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure), treatment of complications, management of fluid and electrolyte balance, lifestyle modifications (exercise, quitting smoking, healthy diet)"
318,Fracture of the Neck,"severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs","immobilization (cervical collar, brace), pain management, potential surgical intervention (in severe cases)"
319,Muscle Spasm,"sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion","stretching and relaxation exercises, heat or cold therapy, over-the-counter pain relievers, muscle relaxants, physical therapy, lifestyle modifications"
320,Hemophilia,"excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","replacement therapy with clotting factor concentrates, medications to control bleeding, physical therapy, joint protection measures, genetic counseling and testing for family members"
321,Hyperosmotic Hyperketotic State,"increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor","insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)"
322,Peritonsillar Abscess,"severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","antibiotics to treat infection, drainage of the abscess (needle aspiration or incision and drainage), pain relievers, warm saltwater gargles, rest, fluids, surgical removal of the tonsils (in chronic or recurrent cases)"
323,Gastroparesis,"nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite","dietary modifications (small, frequent meals; low-fiber, low-fat diet), medication to promote gastric emptying, managing underlying cause if possible"
324,Fat Embolism,"respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","supportive care (oxygen therapy, fluid resuscitation), managing symptoms (pain medication, anticoagulants), treatment of underlying cause if possible"
325,Polycythemia Vera,"increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","phlebotomy (removal of blood), medication (hydroxyurea, interferon), low-dose aspirin, managing complications (blood thinners, medication for itching)"
326,Thrombocytopenia,"easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","treatment of underlying cause, platelet transfusion (if severe), medication (corticosteroids, immunosuppressants), avoiding medications that can worsen platelet counts"
327,Head and Neck Cancer,"persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","treatment depends on the specific type and stage of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy"
328,Pseudohypoparathyroidism,"hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face","calcium and vitamin d supplementation, management of complications, hormone replacement therapy (if necessary)"
329,Goiter,"enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","treatment depends on the underlying cause (medication, radioactive iodine therapy, surgery)"
330,Urge Incontinence,"sudden, intense urge to urinate followed by involuntary urine leakage","behavioral therapies (bladder training, pelvic floor exercises), medications (anticholinergics, beta-3 agonists), medical devices"
331,Edward Syndrome,"developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","supportive care, addressing associated medical issues, early intervention programs, palliative care"
332,Muscular Dystrophy,"progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting","supportive care, physical therapy, assistive devices, medications for symptom management, gene therapies (in some cases)"
333,Mittelschmerz,lower abdominal pain and discomfort occurring around the time of ovulation,"pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)"
334,Corneal Abrasion,"eye pain, redness, foreign body sensation, sensitivity to light","eye patching, lubricating eye drops, antibiotic ointments (if infected), avoiding further eye irritation"
335,Anemia of Chronic Disease,"fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance","treating the underlying chronic disease, addressing nutritional deficiencies, blood transfusions (in severe cases)"
336,Dysthymic Disorder,"persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications"
337,Scarlet Fever,"sore throat, fever, rash (red, sandpaper-like), swollen glands","antibiotics (such as penicillin or erythromycin), rest, fluids, symptomatic relief"
338,Hypertensive Heart Disease,"high blood pressure, chest pain or discomfort, shortness of breath, fatigue","medications (antihypertensives), lifestyle changes (healthy diet, exercise, stress management), treatment of underlying conditions"
339,Drug Abuse (Barbiturates),"sedation, drowsiness, slurred speech, confusion, respiratory depression","medical detoxification, supportive care, counseling, rehabilitation programs"
340,Polycystic Ovarian Syndrome,"irregular periods, excessive hair growth, acne, weight gain, ovarian cysts","lifestyle changes (diet, exercise, weight management), hormonal contraceptives, fertility treatments (if needed)"
341,Encephalitis,"headache, fever, confusion, seizures, neurological symptoms","hospitalization, antiviral medications (if caused by a viral infection), supportive care"
342,Cyst of the Eyelid,"painful lump or swelling on the eyelid, redness, tenderness","warm compresses, good eyelid hygiene, antibiotic ointments (if infected), surgical removal (if necessary)"
343,Balanitis,"inflammation of the glans penis (tip of the penis), redness, swelling, pain","good hygiene, topical antifungal or antibacterial creams, corticosteroid creams (if severe), treating underlying causes"
344,Foreign Body in the Throat,"sensation of a foreign object stuck in the throat, difficulty swallowing or speaking","immediate medical attention, removal of the foreign body, evaluation for any complications"
345,Drug Abuse (Cocaine),"euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","medical detoxification, counseling, behavioral therapies, support groups"
346,Optic Neuritis,"vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters","high-dose intravenous corticosteroids, treatment of underlying cause, symptom management, visual rehabilitation"
347,Intestinal Malabsorption,"chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive","dietary modifications (specific to the underlying cause), supplementation of deficient nutrients, medications (to manage symptoms or underlying condition), treatment of underlying cause"
348,Lead Poisoning,"fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia","removal of lead source, chelation therapy (in severe cases), supportive care, medication to manage symptoms, addressing complications (such as anemia)"
349,Viral Warts,"small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions","topical treatments (salicylic acid, cryotherapy), laser therapy, surgical removal, immune therapy (for persistent or recurrent cases)"
350,Hyperhidrosis,"excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities","antiperspirants, medications (anticholinergics, beta blockers), iontophoresis, botox injections, surgical interventions (sympathectomy, sweat gland removal)"
351,Stroke,"sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache","emergency medical attention, medication (clot-busting drugs, anticoagulants), supportive care, rehabilitation (physical therapy, speech therapy), lifestyle modifications (diet, exercise, smoking cessation), addressing underlying risk factors"
352,Pilonidal Cyst,"pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence"
353,Crushing Injury,"severe pain, swelling, deformity, bruising, difficulty moving or using the affected area","emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)"
354,Normal Pressure Hydrocephalus,"gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms","ventriculoperitoneal shunt placement, medication management for symptoms"
355,Alopecia,"hair loss or balding, patchy or generalized hair loss","topical medications (minoxidil), oral medications (finasteride), steroid injections, hair transplant surgery, wigs or hairpieces"
356,Hashimoto Thyroiditis,"fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","thyroid hormone replacement (levothyroxine), monitoring and management of symptoms"
357,Flat Feet,"foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling","supportive footwear, orthotic inserts, physical therapy exercises, pain management, surgery (in severe cases)"
358,Nonalcoholic Liver Disease (NASH),"fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance","lifestyle changes (weight loss, healthy diet, regular exercise), management of underlying conditions, medication as needed"
359,Hemarthrosis,"joint swelling, pain, warmth, limited range of motion","rice method (rest, ice, compression, elevation), pain management, joint aspiration or drainage (in severe cases)"
360,Pelvic Organ Prolapse,"pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse","pelvic floor exercises, pessary use, hormone therapy, surgical repair (in severe cases)"
361,Fracture of the Arm,"pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising","immobilization (cast or splint), pain management, physical therapy, surgery (in complex fractures)"
362,Coagulation (Bleeding) Disorder,"easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding","blood transfusions, clotting factor replacement therapy, medications to stimulate clotting, lifestyle modifications, surgery (in some cases)"
363,Intracranial Hemorrhage,"severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures","emergency medical attention, surgery (if needed), medications to control bleeding and manage symptoms"
364,Hyperkalemia,"muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting","treatment of underlying cause, medications to reduce potassium levels, dietary modifications, dialysis (in severe cases)"
365,Cornea Infection,"eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light","antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)"
366,Abscess of the Lung,"cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions"
367,Dengue Fever,"high fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","supportive care (hydration, pain relievers, rest), monitoring, medical attention for severe cases (fluid replacement, blood transfusion, hospitalization)"
368,Chronic Sinusitis,"facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue","saline nasal irrigation, nasal corticosteroids, antibiotics (in bacterial cases), decongestants, pain relievers, surgery (in severe or chronic cases)"
369,Cholesteatoma,"ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus","surgical removal, antibiotics (for associated infections)"
370,Volvulus,"abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",emergency surgery to untwist the affected organ and restore blood flow
371,Injury to the Finger,"pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger","rice method (rest, ice, compression, elevation), splinting, pain medication, physical therapy, surgery (in severe cases)"
372,Poisoning due to Analgesics,"nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","immediate medical attention, activated charcoal administration, supportive care, antidote (if available), treatment for complications"
373,Atrial Fibrillation,"irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","medications (antiarrhythmics, anticoagulants), electrical cardioversion, catheter ablation, lifestyle changes"
374,Pinworm Infection,"itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite","anthelmintic medication, hygiene measures (handwashing, trimming nails, laundering bedding), treatment for household members"
375,Urethral Valves,"difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain","surgical intervention (valve ablation or resection), catheterization, medications for symptoms and complications"
376,Migraine,"severe headaches, nausea, sensitivity to light and sound","pain-relieving medications, lifestyle changes, preventive medications"
377,Arthritis,"joint pain, stiffness, swelling","medications, physical therapy, surgery (in severe cases)"
378,Sciatica,"lower back pain, leg pain, numbness or tingling","pain relievers, physical therapy, exercise"
379,Complex Regional Pain Syndrome (CRPS),"intense burning pain, swelling, changes in skin temperature","physical therapy, medications, nerve blocks"
380,Lupus,"joint pain, fatigue, skin rashes","medications (anti-inflammatory, immunosuppressants), lifestyle modifications"
381,Endometriosis,"pelvic pain, painful periods, infertility","pain medications, hormonal therapies, surgery"
382,Chronic Headache,"persistent head pain, tension in neck and shoulders","pain-relieving medications, relaxation techniques, stress management"
383,Dry Skin,"dry, flaky skin with itching","moisturizing creams or lotions, avoiding hot showers or baths, using mild soaps"
384,Eczema,"itchy, red, inflamed skin, rash","emollients (moisturizers), topical corticosteroids or immunomodulators, avoiding triggers"
385,Psoriasis,"red, scaly patches on the skin, itching","topical treatments (corticosteroids, salicylic acid), systemic medications (retinoids, immunosuppressants), phototherapy"
386,Scabies,"intense itching, especially at night, small blisters or bumps","prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home"
387,Urticaria (Hives),"raised, itchy welts on the skin","antihistamines, avoiding triggers, corticosteroids (in severe cases)"
388,Insect Bites,"red, swollen, itchy bumps","topical corticosteroids, oral antihistamines, cold compresses"
389,Contact Dermatitis,"itchy, red rash caused by contact with irritants or allergens","avoiding the trigger, corticosteroid creams or ointments, antihistamines"
390,Dermatitis due to Sun Exposure,"sunburn-like rash, redness, itching","moisturizers, cool compresses, topical corticosteroids"
391,Parasitic Infections,"intense itching, visible lice or nits in the affected area","prescription medications (topical or oral antiparasitic agents), washing clothes and bedding in hot water"
392,Influenza (Flu),"high fever, body aches, fatigue, cough, sore throat, congestion","rest, fluids, over-the-counter medications for symptom relief, antiviral medications (in some cases)"
393,Urinary Tract Infection (UTI),"frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain","antibiotics, increased fluid intake, pain relievers"
394,Bronchitis,"persistent cough with yellow or green mucus, chest congestion, fatigue","rest, fluids, over-the-counter cough suppressants, inhalers (if prescribed), treating underlying cause"
395,Gastroenteritis (Stomach Flu),"nausea, vomiting, diarrhea, abdominal pain or cramps, fever","rest, fluids (electrolyte solutions), bland diet, avoiding irritating foods, over-the-counter medications for symptom relief"
396,Urinary Stones (Kidney Stones),"severe abdominal or back pain, blood in urine, frequent urination, pain during urination","pain management, increased fluid intake, medications to help pass the stones, procedures or surgery"
397,Osteoporosis,"fragile bones, loss of height over time, back pain, fractures","calcium and vitamin d supplements, regular exercise, medications to slow bone loss"
398,Rheumatoid Arthritis,"joint pain, stiffness, swelling, fatigue, loss of appetite","medications (nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs), physical therapy, exercise"
399,Type 1 Diabetes,"frequent urination, increased thirst, weight loss","insulin therapy, blood sugar monitoring, healthy eating, regular exercise"
400,Type 2 Diabetes,"fatigue, increased hunger, slow healing of wounds","oral medications, insulin therapy (in some cases), blood sugar monitoring, exercise"
